CompoundName,ExperimentType,ChemicalFormula,Ionization,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,
DG(8:0_8:0),XIC,C19 H36 O5,ESI,345.2635514700001,H-Gain,+,1,1.3873979581754898,,
DG(6:0_10:1),XIC,C19 H34 O5,ESI,343.24790147000004,H-Gain,+,1,1.1648334854690439,,
DG(18:2e),XIC,C21 H38 O4,ESI,355.28428647000004,H-Gain,+,1,1.752244166858458,,
DG(18:3e),XIC,C21 H36 O4,ESI,370.29518547,NH4-Gain,+,1,1.656,,
DG(19:2e),XIC,C22 H40 O4,ESI,391.28188147,Na-Gain,+,1,4.893834056990416,,
DG(8:0_11:4),XIC,C22 H34 O5,ESI,401.22984647000004,Na-Gain,+,1,1.3763205271658292,,
DG(20:0e),XIC,C23 H46 O4,ESI,409.32883147,Na-Gain,+,1,17.64217575858985,,
DG(12:0e_10:4),XIC,C25 H42 O4,ESI,424.34213547,NH4-Gain,+,1,2.35352313214929,,
DG(12:1e_10:4),XIC,C25 H40 O4,ESI,422.32648546999997,NH4-Gain,+,1,1.9235539433210835,,
DG(23:2e),XIC,C26 H48 O4,ESI,442.38908546999994,NH4-Gain,+,1,4.061,,
DG(30:0e),XIC,C33 H66 O4,ESI,549.48533147,Na-Gain,+,1,8.030103290171379,,
DG(30:0e),XIC,C33 H66 O4,ESI,549.48533147,Na-Gain,+,1,16.25038648683045,,
DG(30:0e),XIC,C33 H66 O4,ESI,549.48533147,Na-Gain,+,1,20.771073458653184,,
DG(30:1e),XIC,C33 H64 O4,ESI,547.4696814700002,Na-Gain,+,1,6.674,,
DG(32:0e),XIC,C35 H70 O4,ESI,577.5166314700001,Na-Gain,+,1,17.627,,
DG(32:0e),XIC,C35 H70 O4,ESI,577.5166314700001,Na-Gain,+,1,21.36886086707898,,
DG(16:0_16:1),XIC,C35 H66 O5,ESI,584.52485047,NH4-Gain,+,1,13.095347763527396,,
DG(16:0_16:1),XIC,C35 H66 O5,ESI,589.4802464700001,Na-Gain,+,1,13.095347763527396,,
DG(32:1e),XIC,C35 H68 O4,ESI,575.50098147,Na-Gain,+,1,8.19389566665851,,
DG(32:1e),XIC,C35 H68 O4,ESI,575.50098147,Na-Gain,+,1,8.794250581899952,,
DG(32:1e),XIC,C35 H68 O4,ESI,575.50098147,Na-Gain,+,1,9.824212055692783,,
DG(16:1_16:1),XIC,C35 H64 O5,ESI,582.5092004700001,NH4-Gain,+,1,10.816899156079232,,
DG(16:1_16:1),XIC,C35 H64 O5,ESI,587.4645964700002,Na-Gain,+,1,10.816899156079232,,
DG(32:2e),XIC,C35 H66 O4,ESI,551.50338647,H-Gain,+,1,21.37,,
DG(32:3e),XIC,C35 H64 O4,ESI,549.4877364700002,H-Gain,+,1,8.02949995347543,,
DG(32:3e),XIC,C35 H64 O4,ESI,549.4877364700002,H-Gain,+,1,21.039367201398473,,
DG(16:0_18:1),XIC,C37 H70 O5,ESI,612.55615047,NH4-Gain,+,1,15.376740401145842,,
DG(16:0_18:1),XIC,C37 H70 O5,ESI,617.5115464700001,Na-Gain,+,1,15.376740401145842,,
