Name,Formula
PC(12:0_22:2),C42 H80 O8 N1 P1
PC(12:0_22:4),C42 H76 O8 N1 P1
PC(12:1e_6:0),C26 H52 O7 N1 P1
PC(14:0_18:3),C40 H74 O8 N1 P1
PC(16:0),C24 H48 O8 N1 P1
PC(16:0_12:0),C36 H72 O8 N1 P1
PC(16:0_14:0),C38 H76 O8 N1 P1
PC(16:0_16:0),C40 H80 O8 N1 P1
PC(16:0_16:1),C40 H78 O8 N1 P1
PC(16:0_17:0),C41 H82 O8 N1 P1
PC(16:0_18:1),C42 H82 O8 N1 P1
PC(16:0_18:2),C42 H80 O8 N1 P1
PC(16:0_18:3),C42 H78 O8 N1 P1
PC(16:0_20:4),C44 H80 O8 N1 P1
PC(16:1),C24 H46 O8 N1 P1
PC(16:1_14:0),C38 H74 O8 N1 P1
PC(16:1_14:1),C38 H72 O8 N1 P1
PC(16:1_16:1),C40 H76 O8 N1 P1
PC(16:1_18:1),C42 H80 O8 N1 P1
PC(16:1_18:2),C42 H78 O8 N1 P1
PC(16:1_18:3),C42 H76 O8 N1 P1
PC(16:1_20:4),C44 H78 O8 N1 P1
PC(16:2_18:2),C42 H76 O8 N1 P1
PC(16:2_20:0),C44 H84 O8 N1 P1
PC(17:0_17:0),C42 H84 O8 N1 P1
PC(17:0_18:1),C43 H84 O8 N1 P1
PC(17:0_18:2),C43 H82 O8 N1 P1
PC(17:0_18:3),C43 H80 O8 N1 P1
PC(17:1_16:1),C41 H78 O8 N1 P1
PC(17:1_18:1),C43 H82 O8 N1 P1
PC(17:1_18:2),C43 H80 O8 N1 P1
PC(17:1_18:3),C43 H78 O8 N1 P1
PC(18:0_14:1),C40 H78 O8 N1 P1
PC(18:0_16:0),C42 H84 O8 N1 P1
PC(18:0_17:0),C43 H86 O8 N1 P1
PC(18:0_18:1),C44 H86 O8 N1 P1
PC(18:0_18:2),C44 H84 O8 N1 P1
PC(18:0_18:3),C44 H82 O8 N1 P1
PC(18:0e_16:0),C42 H86 O7 N1 P1
PC(18:0e_24:1),C50 H100 O7 N1 P1
PC(18:1_18:1),C44 H84 O8 N1 P1
PC(18:1_18:2),C44 H82 O8 N1 P1
PC(18:1_18:3),C44 H80 O8 N1 P1
PC(18:1_20:4),C46 H82 O8 N1 P1
PC(18:1_20:5),C46 H80 O8 N1 P1
PC(18:1e_24:0),C50 H100 O7 N1 P1
PC(18:2),C26 H48 O8 N1 P1
PC(18:2_14:1),C40 H74 O8 N1 P1
PC(18:2_18:2),C44 H80 O8 N1 P1
PC(18:2_20:4),C46 H80 O8 N1 P1
PC(18:2e_16:0),C42 H82 O7 N1 P1
PC(18:2e_21:1),C47 H90 O7 N1 P1
PC(18:3_18:2),C44 H78 O8 N1 P1
PC(18:3_18:3),C44 H76 O8 N1 P1
PC(18:3_20:4),C46 H78 O8 N1 P1
PC(18:3_20:5),C46 H76 O8 N1 P1
PC(18:4_16:0),C42 H76 O8 N1 P1
PC(18:4_16:1),C42 H74 O8 N1 P1
PC(18:4_18:2),C44 H76 O8 N1 P1
PC(18:4_18:3),C44 H74 O8 N1 P1
PC(19:0_12:3),C39 H72 O8 N1 P1
PC(19:0_18:1),C45 H88 O8 N1 P1
PC(20:0_11:2),C39 H74 O8 N1 P1
PC(20:0_12:0),C40 H80 O8 N1 P1
PC(20:0_18:1),C46 H90 O8 N1 P1
PC(20:0_18:3),C46 H86 O8 N1 P1
PC(20:0e_14:1),C42 H84 O7 N1 P1
PC(20:0e_19:0),C47 H96 O7 N1 P1
PC(20:0e_23:0),C51 H104 O7 N1 P1
PC(20:1_12:0),C40 H78 O8 N1 P1
PC(20:1_18:1),C46 H88 O8 N1 P1
PC(20:1_9:0),C37 H72 O8 N1 P1
PC(20:3_14:1),C42 H76 O8 N1 P1
PC(20:5_18:2),C46 H78 O8 N1 P1
PC(21:0_11:1),C40 H78 O8 N1 P1
PC(21:0_11:2),C40 H76 O8 N1 P1
PC(21:1),C29 H56 O8 N1 P1
PC(21:1_11:3),C40 H72 O8 N1 P1
PC(21:2e),C29 H56 O7 N1 P1
PC(22:1_11:3),C41 H74 O8 N1 P1
PC(22:1_11:4),C41 H72 O8 N1 P1
PC(22:1_12:1),C42 H80 O8 N1 P1
PC(22:1_14:2),C44 H82 O8 N1 P1
PC(22:3_11:3),C41 H70 O8 N1 P1
PC(22:4_14:3),C44 H74 O8 N1 P1
PC(22:6_13:0),C43 H74 O8 N1 P1
PC(23:1_11:1),C42 H80 O8 N1 P1
PC(24:0_10:2),C42 H80 O8 N1 P1
PC(24:1_10:1),C42 H80 O8 N1 P1
PC(25:1_8:0),C41 H80 O8 N1 P1
PC(26:1_8:0),C42 H82 O8 N1 P1
PC(28:0),C36 H72 O8 N1 P1
PC(29:2),C37 H70 O8 N1 P1
PC(30:1),C38 H74 O8 N1 P1
PC(30:3),C38 H70 O8 N1 P1
PC(31:3),C39 H72 O8 N1 P1
PC(32:1),C40 H78 O8 N1 P1
PC(32:2),C40 H76 O8 N1 P1
PC(32:3),C40 H74 O8 N1 P1
PC(32:4),C40 H72 O8 N1 P1
PC(33:0),C41 H82 O8 N1 P1
PC(33:2),C41 H78 O8 N1 P1
PC(33:2e),C41 H80 O7 N1 P1
PC(33:3),C41 H76 O8 N1 P1
PC(33:4),C41 H74 O8 N1 P1
PC(33:5),C41 H72 O8 N1 P1
PC(34:1),C42 H82 O8 N1 P1
PC(34:2),C42 H80 O8 N1 P1
PC(34:3),C42 H78 O8 N1 P1
PC(34:5),C42 H74 O8 N1 P1
PC(35:3),C43 H80 O8 N1 P1
PC(36:0),C44 H88 O8 N1 P1
PC(36:1),C44 H86 O8 N1 P1
PC(36:1e),C44 H88 O7 N1 P1
PC(36:2),C44 H84 O8 N1 P1
PC(36:3),C44 H82 O8 N1 P1
PC(36:3e),C44 H84 O7 N1 P1
PC(36:4),C44 H80 O8 N1 P1
PC(36:5),C44 H78 O8 N1 P1
PC(36:6),C44 H76 O8 N1 P1
PC(36:7),C44 H74 O8 N1 P1
PC(37:3),C45 H84 O8 N1 P1
PC(38:1),C46 H90 O8 N1 P1
PC(38:2),C46 H88 O8 N1 P1
PC(4:0_12:0),C24 H48 O8 N1 P1
PC(51:0),C59 H118 O8 N1 P1
PC(6:0_22:1),C36 H70 O8 N1 P1
PC(6:0_24:2),C38 H72 O8 N1 P1
PC(8:0_10:1),C26 H50 O8 N1 P1
PC(8:0_22:3),C38 H70 O8 N1 P1
PC(8:0_22:4),C38 H68 O8 N1 P1
PC(8:0_23:1),C39 H76 O8 N1 P1
PC(8:0_24:2),C40 H76 O8 N1 P1
PC(8:0_8:0),C24 H48 O8 N1 P1
PC(8:0e_10:0),C26 H54 O7 N1 P1
PC(8:0e_10:3),C26 H48 O7 N1 P1
PC(8:0e_9:0),C25 H52 O7 N1 P1
PC(8:1e_10:0),C26 H52 O7 N1 P1
