"Checked"	"Name"	"Formula"	"Annotation Source: Predicted Compositions"	"Annotation Source: MassList Match"	"Molecular Weight"	"RT [min]"	"Area (Max.)"	"Mass List Match: masslist_for_CD"	"Area: cbr_n62.raw (F1)"	"Area: cbr_n71.raw (F2)"	"Area: cbr_n86.raw (F3)"	"Area: cbr_n96.raw (F4)"	"Area: cbr_n102.raw (F5)"	"Area: cbr_n116.raw (F6)"	"Area: cbr_o64.raw (F7)"	"Area: cbr_o72.raw (F8)"	"Area: cbr_o81.raw (F9)"	"Area: cbr_o89.raw (F10)"	"Area: cbr_o93.raw (F11)"	"Area: cbr_o98.raw (F12)"	"Area: cbr_o107.raw (F13)"	"Area: ct_n61.raw (F14)"	"Area: ct_n67.raw (F15)"	"Area: ct_n75.raw (F16)"	"Area: ct_n83.raw (F17)"	"Area: ct_n90.raw (F18)"	"Area: ct_n103.raw (F19)"	"Area: ct_n114.raw (F20)"	"Area: ct_o63.raw (F21)"	"Area: ct_o70.raw (F22)"	"Area: ct_o73.raw (F23)"	"Area: ct_o82.raw (F24)"	"Area: ct_o91.raw (F25)"	"Area: ct_o105.raw (F26)"	"Area: ct_o117.raw (F27)"	"Area: ct-o115.raw (F28)"	"Area: s06_66.raw (F29)"	"Area: s06_77.raw (F30)"	"Area: s06_78.raw (F31)"	"Area: s06_84.raw (F32)"	"Area: s06_92.raw (F33)"	"Area: S06_95.raw (F34)"	"Area: s06_101.raw (F35)"	"Area: s06_109.raw (F36)"	"Area: syd_n65.raw (F37)"	"Area: syd_n69.raw (F38)"	"Area: syd_n74.raw (F39)"	"Area: syd_n80.raw (F40)"	"Area: syd_n85.raw (F41)"	"Area: syd_n87.raw (F42)"	"Area: syd_n97.raw (F43)"	"Area: syd_n99.raw (F44)"	"Area: syd_n100.raw (F45)"	"Area: syd_n104.raw (F46)"	"Area: syd_n110.raw (F47)"	"Area: syd_o76.raw (F48)"	"Area: syd_o79.raw (F49)"	"Area: syd_o94.raw (F50)"	"Area: syd_o106.raw (F51)"	"Area: syd-o112.raw (F52)"
"False"	"TG(16:1_11:1_18:2)"	"C48 H87 N O6"	"Not the top hit"	"Full match"	"773.65099"	"18.892"	"102097.877498927"	"Multiple matches found"	""	"38275.8639955425"	""	""	""	"29673.8636412284"	""	"29670.6635316168"	""	"24347.8367222358"	""	""	"44406.9246916607"	""	""	"8139.08307544621"	""	"12583.3043580731"	"7852.08893318899"	""	""	"23827.0126984425"	""	""	"4970.32450096163"	"22373.5181832272"	"102097.877498927"	"12365.6025904502"	"8863.87862134419"	""	"40767.760800747"	"23432.2582234925"	"35323.9565958233"	""	"39767.8132125213"	"48872.6404190507"	""	""	""	"23688.1254437292"	""	""	""	"15772.4945946969"	""	""	""	""	"13649.4561061867"	"13428.4751869675"	""	""
"False"	"TG(26:0_18:2_16:0)"	"C63 H121 N O6"	"Not the top hit"	"Full match"	"987.91544"	"21.937"	"100814.683957303"	"Multiple matches found"	""	""	""	""	"100814.683957303"	"32157.3193431127"	""	""	""	""	""	""	"33449.2452458515"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"38262.6927143451"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"68427.9890263329"	""	""
"False"	"TG(18:1_11:3_18:1)"	"C50 H89 N O6"	"No results"	"Full match"	"799.67080"	"20.005"	"100566.111753294"	"Single match found"	""	""	""	""	"100566.111753294"	"71351.384948527"	"17954.3331906396"	""	""	""	""	""	""	"25529.780145376"	""	""	""	""	""	""	""	""	""	""	""	""	""	"64881.6299330002"	""	""	""	""	""	""	""	""	""	""	""	""	"46728.1024316789"	""	""	""	""	"97242.2298453661"	""	""	""	""	""	"28185.1945352189"
"False"	"TG(4:0_11:1_20:0)"	"C38 H73 N O6"	"Not the top hit"	"Full match"	"639.54139"	"15.086"	"100473.490788639"	"Single match found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"36501.3526812149"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"100473.490788639"	""	""	""	""	""
"False"	"TG(16:0_18:2_10:3)"	"C47 H83 N O6"	"No match"	"Full match"	"757.61918"	"17.330"	"100124.190206368"	"Multiple matches found"	""	"21407.8913261154"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"11553.1177052991"	""	""	""	""	""	""	"100124.190206368"	""	"3172.44933736175"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"CL(66:4)"	"C75 H138 O17 P2"	"No match"	"Invalid mass"	"1372.93230"	"20.246"	"99943.3109035635"	"Single match found"	""	""	""	""	"4455.8227355483"	"8457.4350838379"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14863.4649936136"	""	"7454.57057888318"	""	""	""	""	"99943.3109035635"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"TG(16:1_12:1_12:1)"	"C43 H79 N O6"	"No results"	"Full match"	"705.58832"	"15.138"	"98397.2313906207"	"Single match found"	""	""	""	"25998.512067664"	""	""	""	""	""	""	""	""	""	"21000.9044428498"	""	""	"98397.2313906207"	""	""	""	""	""	""	""	"29963.3396240429"	""	""	""	"49553.6171844127"	""	"27163.6452451974"	""	"25836.337986521"	""	""	"17673.2136854005"	""	""	""	""	"48169.1800491375"	""	"19034.577957575"	"17501.9931670391"	""	""	""	""	"10190.0434475145"	""	""	""
"False"	"TG(19:0_12:2_12:4)"	"C46 H79 N O6"	"Not the top hit"	"Full match"	"741.58851"	"17.343"	"95450.4262939334"	"Single match found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10253.92684122"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"95450.4262939334"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"PC(17:1_16:1)"	"C41 H78 N O8 P"	"No results"	"Full match"	"743.54637"	"8.893"	"94365.3378427441"	"Multiple matches found"	""	"81599.7650682551"	""	""	""	""	""	""	""	""	""	""	""	"35944.5231315262"	""	""	"24330.4516789075"	""	"41589.2205326651"	""	""	""	""	""	""	"80074.7783395611"	""	""	""	""	""	"54947.1471279944"	""	""	""	""	""	"94365.3378427441"	""	"60012.2105898526"	""	"69015.2943067561"	""	""	"41089.3607704924"	""	"51637.0934940069"	""	"56546.1032300324"	""	""	""
"False"	"TG(16:1_16:1_18:3)"	"C53 H95 N O6"	"Not the top hit"	"Full match"	"841.71324"	"19.740"	"93556.1486016247"	"Multiple matches found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"93556.1486016247"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
